,01G1,01G2,01G3,01G4,01G5,01G6,01P2,01P4a,01P5a,01C1a,01C1b,01C1c,01C1d,02G1,02G2,02G3,02G4,02G5,02G6,02P2,02P4a,02P5a,02C1a,02C1b,02C1c,02C1d,03G1,03G2,03G3,03G4,03G5,03G6,03P2,03P4a,03P5a,03C1a,03C1b,03C1c,03C1d,04G1,04G2,04G3,04G4,04G5,04G6,04P2,04P4a,04P5a,04C1a,04C1b,04C1c,04C1d,05G1,05G2,05G3,05G4,05G5,05G6,05P2,05P4a,05P5a,05C1a,05C1b,05C1c,05C1d,06G1,06G2,06G3,06G4,06G5,06G6,06P2,06P4a,06P5a,06C1a,06C1b,06C1c,06C1d,07G1,07G2,07G3,07G4,07G5,07G6,07P2,07P4a,07P5a,07C1a,07C1b,07C1c,07C1d,08G1,08G2,08G3,08G4,08G5,08G6,08P2,08P4a,08P5a,08C1a,08C1b,08C1c,08C1d,09G1,09G2,09G3,09G4,09G5,09G6,09P2,09P4a,09P5a,09C1a,09C1b,09C1c,09C1d,10G1,10G2,10G3,10G4,10G5,10G6,10P2,10P4a,10P5a,10C1a,10C1b,10C1c,10C1d,11G1,11G2,11G3,11G4,11G5,11G6,11P2,11P4a,11P5a,11C1a,11C1b,11C1c,11C1d,12G1,12G2,12G3,12G4,12G5,12G6,12P2,12P4a,12P5a,12C1a,12C1b,12C1c,12C1d,13G1,13G2,13G3,13G4,13G5,13G6,13P2,13P4a,13P5a,13C1a,13C1b,13C1c,13C1d,14G1,14G2,14G3,14G4,14G5,14G6,14P2,14P4a,14P5a,14C1a,14C1b,14C1c,14C1d
Angola,0.0015660033048527536,-3.699686507401138e-08,0.0,2.2198119044406828e-07,-3.21872726143899e-06,4.4396238088813654e-08,5.549529761101707e-08,1.4798746029604552e-07,1.849843253700569e-07,-1.9090382378189873e-07,2.8487586106988762e-08,-5.249855154002214e-07,6.907314709317925e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999987731951345,-7.769341665542389e-07,3.6256927772531153e-06,2.2198119044406828e-07,3.4777053169570697e-06,7.399373014802276e-09,3.4706759125930075e-05,3.699686507401138e-08,1.1099059522203414e-07,-2.822860805147068e-07,2.4047962298107395e-07,-5.031573650065548e-08,-8.398288371800583e-08
Benin,0.9686479644635947,3.953197231607665e-06,0.00023323863666485227,0.00015812788926430663,-0.00024509822835967526,3.5578775084468992e-06,8.894693771117248e-05,7.90639446321533e-06,3.162557785286132e-05,4.273406207367887e-05,9.250481521961936e-06,-2.6328293562507053e-05,-1.4112914116839366e-05,0.17018514082071,-1.581278892643066e-05,3.953197231607666e-05,3.162557785286132e-05,-0.00026881741174932124,3.953197231607665e-06,1.581278892643066e-05,2.3719183389645993e-05,1.581278892643066e-05,-7.234350933842028e-06,-1.1266612110081848e-05,-2.7237528925776814e-05,3.2851068994659704e-05,0.022865292787618736,-8.697033909536864e-05,3.953197231607665e-06,0.0,-0.00024509822835967526,2.7672380621253657e-06,1.9765986158038326e-06,7.90639446321533e-06,1.1859591694822996e-05,-3.2416217299182855e-05,1.5377937230953818e-05,7.7877985462671e-06,-4.079699543019111e-05,0.04372631457881239,-1.976598615803833e-05,7.90639446321533e-06,3.953197231607665e-06,-0.00021347265050681395,3.1625577852861325e-06,3.953197231607665e-06,3.953197231607665e-06,3.953197231607665e-06,-1.6959216123596885e-05,1.5417469203269896e-06,-5.653072041198961e-06,4.7833686502452756e-06,0.023410834005580597,1.581278892643066e-05,3.953197231607665e-06,2.3719183389645993e-05,-0.0003676473425395129,1.5812788926430662e-06,1.9765986158038326e-06,3.557877508446899e-05,1.581278892643066e-05,4.751743072392414e-05,1.699874809591296e-05,-1.8856750794768563e-05,-2.2849479998692307e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1381009920889822,-5.929795847411498e-05,3.162557785286132e-05,2.3719183389645993e-05,-0.00025300462282289057,4.348516954768433e-06,1.265023114114453e-05,3.162557785286132e-05,1.1859591694822996e-05,6.174894075771173e-05,-3.530205127825645e-05,-2.50632704483926e-05,-3.2574345188447166e-05,0.044912273748294686,5.929795847411498e-05,7.90639446321533e-06,1.1859591694822996e-05,-0.00031625577852861325,3.1625577852861325e-06,3.953197231607665e-06,5.5344761242507314e-05,2.3719183389645993e-05,0.00014180118469776695,-4.427580899400586e-06,-2.0754285465940245e-05,-3.953197231607666e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021568644095651422,6.720435293733031e-05,3.953197231607665e-06,2.7672380621253657e-05,-0.0003716005397711206,5.534476124250731e-06,1.9765986158038326e-06,3.557877508446899e-05,3.557877508446899e-05,0.00014856115196381606,-1.0792228442288927e-05,-3.992729203923742e-06,-6.645324546332485e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022339517555814918,7.906394463215331e-05,3.953197231607665e-06,7.90639446321533e-06,-0.00031625577852861325,1.5812788926430662e-06,1.9765986158038326e-06,3.162557785286132e-05,1.581278892643066e-05,0.00024683763514158263,1.5180277369373435e-05,-1.5694193009482433e-05,-0.000155755970925342,0.08786771486694359,-5.929795847411498e-05,1.976598615803833e-05,7.115755016893798e-05,-0.0003597409480762976,3.953197231607665e-06,7.90639446321533e-06,1.1859591694822996e-05,1.976598615803833e-05,0.00011452412379967406,1.0278312802179931e-05,9.151651591171745e-05,-0.00021568644095651423
Botswana,0.017017535506969956,8.906051884638913e-07,1.484341980773152e-07,4.4530259423194566e-07,-4.898328536551402e-06,2.0780787730824128e-07,7.555300682135344e-06,2.968683961546304e-07,5.937367923092608e-07,2.987980407296355e-06,3.41398655577825e-08,-3.532733914240102e-07,-1.5570747378310366e-06,0.002139678965284499,-3.41398655577825e-06,0.0,1.0390393865412065e-06,-1.3804380421190314e-05,1.1874735846185218e-07,9.499788676948174e-07,2.2265129711597283e-06,4.4530259423194566e-07,-8.950582144062108e-07,-6.946720470018351e-07,6.456887616363211e-07,-9.93024785137239e-07,0.0017596874182065718,-8.906051884638913e-07,0.0,2.968683961546304e-07,-1.2171604242339848e-05,1.7812103769277825e-07,7.867012498097706e-07,7.421709903865761e-07,4.4530259423194566e-07,-4.274904904626678e-07,-2.3304169098138488e-07,1.8851143155819033e-07,-1.706993277889125e-07,0.002419477428660238,-1.335907782695837e-06,0.0,0.0,-8.015446696175021e-06,1.484341980773152e-07,1.0687262261566696e-06,2.968683961546304e-07,1.484341980773152e-07,-1.9741748344282925e-07,-6.160019220208582e-07,1.9741748344282925e-07,-3.0577444803926935e-07,0.012656241899062282,0.0,1.484341980773152e-07,1.1874735846185216e-06,-1.0687262261566696e-05,2.820249763468989e-07,5.625656107130246e-06,5.937367923092608e-07,2.968683961546304e-07,2.567911626737553e-07,-2.53822478712209e-07,3.399143135970518e-07,3.265552357700935e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004581866826250566,5.937367923092608e-07,0.0,8.906051884638913e-07,-1.2468472638494479e-05,8.906051884638913e-08,2.0335485136592184e-06,1.9296445750050976e-06,2.968683961546304e-07,2.922669360142337e-06,-2.6569721455839425e-07,1.5481686859463976e-06,-2.9538405417385725e-06,0.007464904255506259,-4.4530259423194566e-07,0.0,1.0390393865412065e-06,-1.1874735846185217e-05,5.937367923092609e-08,3.3100826171241295e-06,3.41398655577825e-06,2.968683961546304e-07,1.53035658217712e-06,-4.720207498858624e-07,5.343631130783348e-08,-1.2898931812918692e-06,0.0010886164086990298,-1.0390393865412065e-06,0.0,2.968683961546304e-07,-1.3507512025035684e-05,4.4530259423194566e-07,4.898328536551402e-07,1.9296445750050976e-06,5.937367923092608e-07,1.8227719523894306e-06,-3.1468049992390825e-07,-1.7812103769277825e-07,-1.984565228293704e-06,0.019247462464685464,2.820249763468989e-06,1.484341980773152e-07,4.4530259423194566e-07,-3.7108549519328802e-06,7.42170990386576e-08,8.549809809253357e-06,1.484341980773152e-07,1.484341980773152e-07,4.6608338196276977e-07,-5.313944291167885e-07,2.576817678622192e-06,2.567911626737553e-07,0.006943454917660651,-3.2655523577009346e-06,0.0,1.0390393865412065e-06,-1.1874735846185217e-05,1.0390393865412064e-07,3.0874313200081565e-06,1.7812103769277827e-06,5.937367923092608e-07,-1.1280999053875956e-07,-1.0212272827719286e-06,-3.6960115321251493e-07,-3.963193088664316e-07,0.0014058202899902524,-5.343631130783348e-06,0.0,1.484341980773152e-07,-1.2320038440417162e-05,1.7812103769277825e-07,6.23423631924724e-07,4.4530259423194566e-07,2.968683961546304e-07,-2.4179930866794645e-06,-5.254570611936959e-07,-6.976407309633814e-08,4.942858795974597e-07,0.0029579966992847374,-1.0390393865412065e-06,0.0,5.937367923092608e-07,-1.2765341034649108e-05,2.2265129711597283e-07,1.3210643628881054e-06,4.0077233480875105e-06,4.4530259423194566e-07,6.145175800400849e-07,-5.625656107130247e-07,1.1132564855798642e-07,-9.336511059063127e-07,0.999514476711377,8.906051884638913e-07,1.3507512025035684e-05,6.234236319247239e-06,6.531104715401869e-06,8.906051884638913e-08,0.0004441744943265581,1.484341980773152e-07,1.335907782695837e-06,2.6406443837954376e-06,-2.5233813673143588e-08,-8.57949664886882e-07,2.86329568091141e-06
Burkina Faso,0.9858680388264962,1.5053070950307471e-05,3.831690787350993e-05,6.842304977412487e-06,7.800227674250236e-05,1.094768796385998e-06,5.28225944256244e-05,4.105382986447492e-06,8.210765972894984e-06,2.6274451113263948e-05,-5.47384398192999e-08,-3.0106141900614944e-07,-8.470773562036659e-06,0.04055434160112381,1.9158453936754964e-05,1.3684609954824975e-06,1.094768796385998e-05,-0.00011084534063408229,1.094768796385998e-06,2.189537592771996e-06,5.47384398192999e-06,6.842304977412487e-06,3.1474602896097436e-06,-3.831690787350993e-07,5.884382280574738e-06,1.2220356689658702e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006845041899403452,-6.842304977412487e-06,0.0,2.736921990964995e-06,-0.00011905610660697727,9.579226968377481e-07,4.105382986447492e-07,5.47384398192999e-06,2.736921990964995e-06,-8.36129668239806e-06,-2.5590220615522704e-06,4.433813625363292e-06,1.3547763855276724e-06,0.03421015642606695,3.831690787350993e-05,0.0,2.3263836923202457e-05,-0.00012452995058890727,4.105382986447492e-07,1.7789992941272466e-06,2.736921990964995e-06,2.736921990964995e-06,4.019169943732095e-05,2.175852982817171e-06,5.47384398192999e-07,1.0523465055260405e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14749135763210808,0.00016695224144886467,5.47384398192999e-06,1.642153194578997e-05,-8.073919873346735e-05,3.557998588254493e-06,7.937073773798484e-06,1.3684609954824975e-06,1.3684609954824975e-06,0.0001840580038923959,2.3811221321395455e-06,7.280212495966887e-06,0.0005815138154203325,0.038507123951881994,4.379075185543992e-05,1.3684609954824975e-06,1.642153194578997e-05,-0.00011905610660697727,1.094768796385998e-06,2.052691493223746e-06,1.9158453936754964e-05,5.47384398192999e-06,0.00011252854765852577,7.252843276057236e-07,2.72323738101017e-06,-5.027725697402696e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03845922781704011,6.979151076960736e-05,1.3684609954824975e-06,9.579226968377482e-06,-0.00010947687963859979,1.2316148959342476e-06,2.052691493223746e-06,9.579226968377482e-06,4.105382986447492e-06,0.00013501236181430318,1.7242608543079467e-06,7.471797035334435e-06,-2.886084239472587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015590876121532093,2.600075891416745e-05,0.0,4.105382986447492e-06,-0.00011358226262504729,1.6421531945789967e-06,8.210765972894984e-07,5.47384398192999e-06,1.094768796385998e-05,3.8180061773961675e-05,2.682183551145695e-06,1.984268443449621e-06,-1.345197158559295e-05,0.015571717667595337,6.431766678767737e-05,0.0,2.7369219909649947e-05,-0.00013137225556631975,8.210765972894984e-07,8.210765972894984e-07,1.3684609954824975e-06,1.3684609954824973e-05,0.0006308605189174313,1.736577003267289e-05,6.2470244443776e-05,-0.0004772097183446565
Burundi,0.9451662005229143,-0.00012315671386056606,0.0007543348723959672,0.00010776212462799532,0.00016934048155827836,7.697294616285379e-06,8.92886175489104e-05,3.0789178465141516e-05,7.69729461628538e-05,6.865986797726559e-05,-0.000157948485526176,-0.00013747368184685688,0.00015132881215617057,0.2860776517088624,0.0004926268554422642,0.00021552424925599064,0.0001539458923257076,-0.0008467024077913918,6.157835693028304e-06,2.7710260618627367e-05,6.157835693028303e-05,3.0789178465141516e-05,0.0023704588500312452,-5.111003625213492e-05,3.6023338804215576e-05,-0.0016864772504281266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08296144137432382,-6.157835693028303e-05,6.157835693028303e-05,0.00027710260618627364,-0.0014009076201639391,2.7710260618627367e-05,7.697294616285379e-06,3.0789178465141516e-05,4.618376769771228e-05,3.710096005049553e-05,-1.7087994048153545e-05,-0.0001990520387771399,0.0001544077300026847,0.016872469798897553,-0.00018473507079084912,0.0,1.5394589232570758e-05,-0.00121617254937309,0.0,1.539458923257076e-06,3.0789178465141516e-05,6.157835693028303e-05,0.0012823692830731441,-0.00013347108864638848,-0.00012284882207591467,-0.001170912457029332,0.08360801412209179,6.157835693028303e-05,6.157835693028303e-05,0.00016934048155827836,-0.0013085400847685144,4.618376769771228e-05,7.697294616285379e-06,3.0789178465141516e-05,1.5394589232570758e-05,0.00021567819514831633,-0.00011130288015148659,-7.096905636215121e-05,9.975693822705853e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10315914244745665,-0.0003386809631165567,7.69729461628538e-05,0.00027710260618627364,-0.0013701184416987976,1.3855130309313684e-05,9.236753539542455e-06,6.157835693028303e-05,7.69729461628538e-05,-0.00013824341130848542,4.6337713590037985e-05,-0.00032605739994584867,0.0003271350211921286
Cape Verde,0.6161009664957003,-0.0004489761844318804,0.0009771834602340925,0.0002641036379011061,-0.0011356456429747561,3.961554568516592e-05,0.0011409277157327783,7.923109137033183e-05,2.6410363790110608e-05,-0.00036948098942364744,8.979523688637607e-06,0.00014578520812141054,-5.757459306244113e-05,0.7632331031704065,-5.2820727580221216e-05,0.001214876734345088,0.0005810280033824334,-0.0016110321911967471,2.9051400169121672e-05,0.0014155954991499286,7.923109137033183e-05,5.2820727580221216e-05,2.112829103208849e-05,4.7538654822199095e-06,-8.081571319773846e-05,2.6410363790110608e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09631859674253339,-0.00010564145516044243,0.00013205181895055304,0.0,0.0007130798223329865,7.923109137033183e-05,0.00017959047377275213,2.6410363790110608e-05,2.6410363790110608e-05,-0.0001859289610823787,1.8223151015176318e-05,6.629001311317762e-05,-3.327705837553937e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16913196971186834,0.000607438367172544,0.0002641036379011061,2.6410363790110608e-05,-5.2820727580221216e-05,2.6410363790110608e-05,0.00031428332910231625,7.923109137033183e-05,2.6410363790110608e-05,0.0005889511125194666,-1.611032191196747e-05,1.1092352791846455e-05,1.1884663705549775e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999963418961277,6.97809805586775e-05,0.00111649568893884,3.489049027933875e-05,0.002442334319553712,1.7445245139669374e-05,0.00021632103973190023,6.97809805586775e-05,0.00017445245139669372,-7.536345900337169e-05,2.163210397319002e-05,9.559994336538817e-05,2.9308011834644543e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,0.8913425968171597,3.252653750397885e-06,4.1471335317573035e-05,1.1384288126392599e-05,1.6263268751989426e-05,7.318470938395242e-07,3.8056048879655257e-05,1.6263268751989426e-06,4.065817187997357e-06,7.83076390408291e-06,6.749256532075612e-07,-6.505307500795771e-07,-3.5372609535576997e-06,0.055435791031468756,-3.252653750397885e-06,2.439490312798414e-06,6.50530750079577e-06,-5.854776750716194e-05,4.878980625596827e-07,2.3581739690384668e-06,1.2197451563992069e-05,6.50530750079577e-06,-4.0658171879973565e-07,-2.1467514752626045e-06,-3.7405518129575684e-07,6.667940188315665e-07,0.3925782312408352,1.6263268751989426e-06,1.788959562718837e-05,1.6263268751989426e-06,5.122929656876669e-05,7.318470938395242e-07,1.675116681454911e-05,3.252653750397885e-06,6.50530750079577e-06,-2.5939913659423135e-06,1.1465604470152546e-06,-2.4964117534303767e-06,5.651485891316326e-06,0.0038202418298423162,-6.50530750079577e-06,0.0,8.131634375994713e-07,-6.993205563355453e-05,1.219745156399207e-06,1.6263268751989427e-07,4.065817187997357e-06,3.252653750397885e-06,-5.9848829007321095e-06,-6.830572875835559e-07,-4.643163228692981e-06,6.334543178899882e-06,0.05310038563868308,-1.2197451563992069e-05,2.439490312798414e-06,1.0571124688793127e-05,-6.586623844555717e-05,5.692144063196298e-07,2.2768576252785193e-06,2.439490312798414e-06,3.252653750397885e-06,-6.188173760131977e-06,-1.4067727470470855e-06,-5.082271484996696e-06,5.4238001287884734e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14098871630130913,8.131634375994713e-07,6.50530750079577e-06,9.757961251193655e-06,-4.5537152505570395e-05,2.1142249377586253e-06,6.017409438236088e-06,1.6263268751989426e-06,3.252653750397885e-06,9.400169338649888e-06,-2.756624053462208e-06,5.887303288220172e-06,-8.286135429138612e-06,0.014429585200202618,-1.870275906478784e-05,0.0,7.318470938395242e-06,-7.481103625915136e-05,1.5450105314389954e-06,6.505307500795771e-07,6.50530750079577e-06,1.1384288126392599e-05,-4.765137744332902e-06,-4.781401013084891e-06,-3.033099622246028e-06,2.3175157971584933e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001656413922390123,-1.3823778439191013e-05,0.0,3.252653750397885e-06,-7.969001688474819e-05,5.692144063196298e-07,8.131634375994713e-08,1.1384288126392599e-05,6.50530750079577e-06,-3.098152697253986e-06,-2.016645325246689e-06,-1.3417196720391276e-06,-2.634649537822287e-06,0.0048700358277832334,-1.4636941876790484e-05,0.0,5.692144063196299e-06,-7.806369000954924e-05,3.2526537503978853e-07,2.4394903127984136e-07,7.318470938395242e-06,5.692144063196299e-06,5.919829825724151e-06,-1.1221655438872703e-06,-2.715965881582234e-06,-1.1148470729488752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015598914223470659,-3.252653750397885e-06,0.0,3.252653750397885e-06,-6.830572875835559e-05,1.3010615001591541e-06,6.505307500795771e-07,6.50530750079577e-06,7.318470938395242e-06,5.545774644428395e-06,-2.7403607847102186e-06,1.675116681454911e-06,-7.375392379027205e-06,0.15851645419876573,-3.740551812957568e-05,7.318470938395242e-06,9.757961251193655e-06,-4.1471335317573035e-05,1.5450105314389954e-06,6.749256532075612e-06,3.252653750397885e-06,5.692144063196299e-06,-1.364488248291913e-05,1.5206156283110115e-06,-3.4966027816777263e-07,-1.1465604470152546e-06
Chad,0.05648972666354453,-2.1254318106533423e-06,3.5423863510889036e-06,2.1254318106533423e-06,3.896624986197794e-05,7.793249972395589e-07,3.896624986197794e-06,2.1254318106533423e-06,4.250863621306685e-06,3.7265904413455267e-06,7.439011337286698e-07,-5.434020662570378e-06,-9.210204512831149e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9984031726453818,-1.2752590863920053e-05,6.58883861302536e-05,2.1254318106533423e-06,6.872229521112473e-05,6.376295431960026e-07,6.907653384623362e-05,7.084772702177807e-07,1.4169545404355615e-06,-1.1973265866680494e-06,1.140648405050627e-06,-1.5515652217769397e-06,-2.125431810653342e-08
Comoros,0.9817406914054188,0.0009430935054628075,0.0013949924768304027,0.00021612559500189339,9.823890681904245e-05,2.9471672045712733e-05,0.0012338806696471731,3.929556272761698e-05,7.859112545523396e-05,0.0009873010135313766,2.1023126059275084e-05,0.0006220487579781768,-9.823890681904245e-06,0.1901905236016662,0.0012967535700113603,0.00025542115772951037,0.00025542115772951037,-0.0013556969141027859,0.0001237810225919935,0.00023970293263846356,1.964778136380849e-05,1.964778136380849e-05,0.0015144509875223582,7.859112545523396e-07,0.00020355101492905593,0.00096745675435393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
