,G1,G2,G3,G4,G5,G6,P2,P4a,P5a,C1a,C1b,C1c,C1d
01,0.9051240943067316,3.6112443691531564e-06,3.611244369153156e-05,3.6112443691531564e-06,5.5974287721873924e-05,7.222488738306313e-07,2.1848028433376596e-05,5.416866553729734e-06,1.0833733107459468e-05,3.3855415960810836e-06,-3.6112443691531565e-07,-1.0201765342857665e-06,2.3743931727182004e-06
02,0.33794024806535233,0.0,1.3542166384324335e-05,8.125299830594601e-06,-1.0833733107459468e-05,7.222488738306313e-07,8.125299830594601e-06,1.4444977476612626e-05,4.514055461441445e-06,8.197524717977664e-06,-1.056288977977298e-06,3.4848508162327958e-06,-1.0003146902554244e-05
03,0.038234049758409036,1.0833733107459468e-05,9.028110922882891e-07,1.8056221845765782e-06,-4.784898789127932e-05,1.8056221845765782e-06,9.028110922882891e-07,9.93092201517118e-06,2.708433276864867e-06,1.2819917510493704e-06,7.944737612136944e-07,-2.148690399646128e-06,1.152889764852145e-05
04,0.012270105555290137,-7.222488738306313e-06,0.0,2.708433276864867e-06,-7.493332065992798e-05,2.076465512263064e-06,2.708433276864867e-07,1.4444977476612626e-05,3.6112443691531564e-06,1.3813009712010825e-06,-1.4806101913527942e-06,-7.123179518154599e-06,1.8868751828825241e-06
05,0.10222439716871068,4.514055461441445e-06,3.6112443691531564e-06,1.7153410753477492e-05,-7.041926519848655e-05,7.222488738306313e-07,2.43758994917838e-06,9.93092201517118e-06,6.319677646018023e-06,1.0815676885613702e-05,-6.229396536789193e-07,-1.5257507459672085e-06,-2.78065816424793e-06
06,0.0498622566270822,3.6112443691531564e-06,1.8056221845765782e-06,9.028110922882891e-07,-9.93092201517118e-06,8.125299830594602e-07,1.1736544199747757e-06,2.708433276864867e-06,3.6112443691531564e-06,1.3776897268319287e-05,1.489638302275677e-06,-9.335066694260908e-06,-5.001573451277121e-06
07,0.15253625371975246,-9.93092201517118e-06,5.416866553729734e-06,8.125299830594601e-06,-4.2432121337549576e-05,1.5347788568900913e-06,3.7015254783819847e-06,5.416866553729734e-06,4.514055461441445e-06,5.164079447889013e-06,-3.250119932237841e-06,-1.5979756333502712e-06,-4.929348563894058e-06
08,0.04290609716100093,-6.319677646018023e-06,9.028110922882891e-07,6.319677646018023e-06,-6.951645410619826e-05,9.93092201517118e-07,9.93092201517118e-07,3.0695577137801834e-05,7.222488738306313e-06,4.4147462412897325e-06,-9.840640905942353e-07,-2.762601942402165e-06,-4.170987246371895e-06
09,0.02220463881483047,-3.250119932237841e-05,0.0,2.708433276864867e-06,-6.680802082933339e-05,2.708433276864867e-07,5.416866553729734e-07,2.708433276864867e-06,1.8056221845765782e-06,-1.5104029573983075e-05,-3.18692315577766e-06,1.0833733107459468e-06,2.148690399646128e-06
10,0.009123808898665448,0.0,0.0,2.708433276864867e-06,-7.944737612136943e-05,1.1736544199747757e-06,1.8056221845765783e-07,1.0833733107459468e-05,5.416866553729734e-06,-1.941043848419821e-06,1.8056221845765783e-07,2.1667466214918933e-07,3.7918065876108143e-07
11,0.07975342908165517,0.0,2.708433276864867e-06,8.125299830594601e-06,-6.048834318331536e-05,1.715341075347749e-06,1.895903293805407e-06,4.514055461441445e-06,9.93092201517118e-06,5.112619215628581e-05,-3.891115807762526e-06,6.139115427560365e-07,-4.79121846677395e-05
12,0.0048742770872644715,1.7153410753477492e-05,0.0,9.028110922882891e-07,-7.673894284450456e-05,2.8889954953225252e-06,9.028110922882891e-08,9.028110922882887e-06,5.416866553729734e-06,1.5076945241214425e-05,6.193284093097662e-06,3.435196206156939e-05,-4.039176826897805e-05
13,0.041851613805208215,-3.6112443691531564e-06,9.028110922882891e-07,4.514055461441445e-06,-6.229396536789194e-05,3.6112443691531565e-07,9.93092201517118e-07,1.7153410753477492e-05,7.222488738306313e-06,5.1279670041974815e-06,3.6112443691531565e-07,-8.053074943211537e-06,-1.8959032938054072e-07
14,0.13482490571124078,-1.8056221845765782e-06,5.416866553729734e-06,1.5347788568900913e-05,-6.319677646018022e-05,1.4444977476612626e-06,3.250119932237841e-06,1.8056221845765782e-06,1.8056221845765782e-06,8.377184125343033e-05,2.229943397952074e-06,1.1104576435145954e-06,-7.282074270397339e-05
