,G1,G2,G3,G4,G5,G6,P2,P4a,P5a,C1a,C1b,C1c,C1d
01,0.6176958764520517,0.0004370614439015,0.00010856940326215605,4.454129364601274e-05,7.794726388052228e-05,2.2270646823006372e-06,0.006524185986799715,8.351492558627388e-06,1.391915426437898e-05,0.002637791086333932,5.122248769291465e-06,2.1574689109787422e-05,-0.00010358634603550836
02,0.7830025363266694,-2.5054477675882167e-05,0.00013640771179091398,2.783830852875796e-05,0.00015589452776104456,3.340597023450955e-06,0.008270204697723415,2.783830852875796e-06,1.1135323411503184e-05,-9.715569676536529e-06,-1.1692089582078342e-06,-8.490684101271177e-06,2.199226373771879e-06
03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.00811208310528007,-7.51634330276465e-05,0.0,3.340597023450955e-05,-0.00025889626931744903,0.0,8.574199026857453e-05,1.1135323411503184e-05,1.1135323411503184e-05,-3.997581104729643e-05,3.4519502575659866e-06,6.040912950740478e-06,-1.024449753858293e-05
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.059866282491093985,0.0001308400500851624,8.351492558627388e-06,3.618980108738535e-05,-0.00017816517458405095,2.783830852875796e-06,0.0006322079866880933,1.391915426437898e-05,1.391915426437898e-05,0.00019222352039107368,3.5633034916810186e-06,7.015253749247006e-06,8.407169175684904e-06
14,0.03987559313659289,-0.0001308400500851624,5.567661705751592e-06,1.948681597013057e-05,-0.00016702985117254774,1.391915426437898e-06,0.000421193608040108,5.567661705751592e-06,5.567661705751592e-06,-4.86056866912114e-05,2.2910927919167803e-05,-7.747401263553339e-05,5.6261221536619834e-05
